,date,true,predict
5344,2012-10-30,2062.347,2056.961181640625
5345,2012-10-31,2068.88,2059.79248046875
5346,2012-11-01,2104.428,2066.13671875
5347,2012-11-02,2117.0460000000003,2102.37890625
5348,2012-11-05,2114.027,2115.957763671875
5349,2012-11-06,2105.999,2112.9912109375
5350,2012-11-07,2105.73,2105.5654296875
5351,2012-11-08,2071.509,2105.130126953125
5352,2012-11-09,2069.067,2069.48583984375
5353,2012-11-12,2079.274,2068.243896484375
5354,2012-11-13,2047.889,2079.541015625
5355,2012-11-14,2055.419,2046.8187255859375
5356,2012-11-15,2030.29,2053.90283203125
5357,2012-11-16,2014.725,2025.495361328125
5358,2012-11-19,2016.9820000000002,2007.660400390625
5359,2012-11-20,2008.9229999999998,2008.973876953125
5360,2012-11-21,2030.319,2000.2587890625
5361,2012-11-22,2015.611,2022.5069580078125
5362,2012-11-23,2027.384,2009.6424560546875
5363,2012-11-26,2017.464,2022.72900390625
5364,2012-11-27,1991.165,2013.064208984375
5365,2012-11-28,1973.523,1987.3238525390625
5366,2012-11-29,1963.4879999999998,1968.7335205078125
5367,2012-11-30,1980.1170000000002,1958.8656005859375
5368,2012-12-03,1959.767,1976.60302734375
5369,2012-12-04,1975.1429999999998,1955.1036376953125
5370,2012-12-05,2031.9070000000002,1970.9803466796875
5371,2012-12-06,2029.237,2029.714111328125
5372,2012-12-07,2061.786,2028.7913818359375
5373,2012-12-10,2083.77,2064.07763671875
5374,2012-12-11,2074.7039999999997,2089.706298828125
5375,2012-12-12,2082.726,2083.390869140625
5376,2012-12-13,2061.476,2093.742431640625
5377,2012-12-14,2150.625,2072.09912109375
5378,2012-12-17,2160.342,2165.31494140625
5379,2012-12-18,2162.464,2178.128662109375
5380,2012-12-19,2162.239,2180.72021484375
5381,2012-12-20,2168.353,2176.724609375
5382,2012-12-21,2153.31,2181.2109375
5383,2012-12-24,2159.053,2162.74853515625
5384,2012-12-25,2213.611,2166.3388671875
5385,2012-12-26,2219.132,2223.107177734375
5386,2012-12-27,2205.897,2230.59619140625
5387,2012-12-28,2233.252,2218.289306640625
5388,2012-12-31,2269.1279999999997,2242.830322265625
5389,2013-01-04,2276.992,2278.980712890625
5390,2013-01-07,2285.364,2288.12255859375
5391,2013-01-08,2276.07,2297.52978515625
5392,2013-01-09,2275.34,2287.595947265625
5393,2013-01-10,2283.658,2287.00341796875
5394,2013-01-11,2242.9970000000003,2294.88232421875
5395,2013-01-14,2311.74,2248.828125
5396,2013-01-15,2325.6820000000002,2318.207275390625
5397,2013-01-16,2309.499,2334.675537109375
5398,2013-01-17,2284.909,2317.5380859375
5399,2013-01-18,2317.07,2288.952392578125
5400,2013-01-21,2328.221,2320.243896484375
5401,2013-01-22,2315.139,2331.674072265625
5402,2013-01-23,2320.911,2318.2705078125
5403,2013-01-24,2302.598,2324.2978515625
5404,2013-01-25,2291.304,2305.18115234375
5405,2013-01-28,2346.505,2295.133056640625
5406,2013-01-29,2358.9770000000003,2349.9951171875
5407,2013-01-30,2382.475,2361.86376953125
5408,2013-01-31,2385.422,2388.502685546875
5409,2013-02-01,2419.02,2393.951171875
5410,2013-02-04,2428.154,2428.745361328125
5411,2013-02-05,2433.13,2437.5498046875
5412,2013-02-06,2434.4770000000003,2443.507080078125
5413,2013-02-07,2418.53,2445.343505859375
5414,2013-02-08,2432.402,2429.104248046875
5415,2013-02-18,2421.558,2444.26708984375
5416,2013-02-19,2382.9139999999998,2430.395751953125
5417,2013-02-20,2397.178,2387.20166015625
5418,2013-02-21,2325.951,2398.69677734375
5419,2013-02-22,2314.1639999999998,2322.535888671875
5420,2013-02-25,2325.819,2306.53125
5421,2013-02-26,2293.341,2316.40185546875
5422,2013-02-27,2313.22,2281.510009765625
5423,2013-02-28,2365.593,2301.0908203125
5424,2013-03-01,2359.506,2356.8310546875
5425,2013-03-04,2273.404,2351.736328125
5426,2013-03-05,2326.306,2263.4248046875
5427,2013-03-06,2347.179,2319.796630859375
5428,2013-03-07,2324.2929999999997,2342.219482421875
5429,2013-03-08,2318.611,2322.60107421875
5430,2013-03-11,2310.593,2318.442626953125
5431,2013-03-12,2286.605,2309.7880859375
5432,2013-03-13,2263.968,2285.56396484375
5433,2013-03-14,2270.277,2260.02490234375
5434,2013-03-15,2278.401,2262.7333984375
5435,2013-03-18,2240.016,2270.85107421875
5436,2013-03-19,2257.4339999999997,2234.3359375
5437,2013-03-20,2317.374,2251.12841796875
5438,2013-03-21,2324.242,2312.4794921875
5439,2013-03-22,2328.278,2322.392578125
5440,2013-03-25,2326.715,2328.8330078125
5441,2013-03-26,2297.669,2329.706787109375
5442,2013-03-27,2301.259,2301.104248046875
5443,2013-03-28,2236.302,2306.533447265625
5444,2013-03-29,2236.621,2237.71484375
5445,2013-04-01,2234.395,2235.01025390625
5446,2013-04-02,2227.74,2233.000244140625
5447,2013-04-03,2225.295,2224.905029296875
5448,2013-04-08,2211.592,2218.804443359375
5449,2013-04-09,2225.775,2202.405517578125
5450,2013-04-10,2226.126,2216.50830078125
5451,2013-04-11,2219.553,2216.912841796875
5452,2013-04-12,2206.78,2211.516357421875
5453,2013-04-15,2181.942,2199.238525390625
5454,2013-04-16,2194.846,2176.60546875
5455,2013-04-17,2193.7960000000003,2191.3525390625
5456,2013-04-18,2197.6020000000003,2190.7470703125
5457,2013-04-19,2244.643,2195.841796875
5458,2013-04-22,2242.169,2246.11474609375
5459,2013-04-23,2184.538,2245.340087890625
5460,2013-04-24,2218.3179999999998,2183.98486328125
5461,2013-04-25,2199.3070000000002,2217.537109375
5462,2013-04-26,2177.9120000000003,2197.888427734375
5463,2013-05-02,2174.123,2175.08642578125
5464,2013-05-03,2205.4970000000003,2172.32763671875
5465,2013-05-06,2231.166,2204.769775390625
5466,2013-05-07,2235.575,2233.354248046875
5467,2013-05-08,2246.3,2239.2265625
5468,2013-05-09,2232.971,2248.546875
5469,2013-05-10,2246.831,2234.886962890625
5470,2013-05-13,2241.92,2252.240966796875
5471,2013-05-14,2217.01,2246.319580078125
5472,2013-05-15,2224.797,2220.136474609375
5473,2013-05-16,2251.806,2228.9326171875
5474,2013-05-17,2282.87,2258.2470703125
5475,2013-05-20,2299.986,2290.021484375
5476,2013-05-21,2305.114,2306.98828125
